Step       Direction       FrameID        Data                 TimeStamp
1           Send:          070E     10 03                   2018\5\10\16:07:34:176
2           Receive:       078E     50 03 00 32 01 F4       2018\5\10\16:07:34:180
3           Send:          070E     3E 00                   2018\5\10\16:07:34:187
4           Receive:       078E     7E 00                   2018\5\10\16:07:34:200
5           Send:          07DF     85 02                   2018\5\10\16:07:34:219
6           Receive:       078E     C5 02                   2018\5\10\16:07:34:230
                                    00 00 00 00 00 00 00 
                                    00 00 00 00 00 00 00 
                                    00 00 00 00 00 00 00 
                                    00 00 00 00 00 00 00 
                                    00 00 00 00 00 00 00 
                                    00 00 00 00 00 00 00 
                                    00 00 00 00 00 00 00 
                                    00 00 00 00 00 00 00 
                                    00 00 00 00 00 00 00 
                                    00 00 00 00 00 00 00 
                                    00 00 00 00 00 00 00 
                                    00 00 00 00 00 00 00 
                                    00 00 00 00 00 00 00 
                                    00 00 00 00 00 00 00 
                                    00 00 00 00 00 00 00 
                                    00 00 00 00 00 00 00 
                                    00 00 00 00 00 00 00 
                                    00 00 00 00 00 00 00 
                                    00 00 00 00 00 00 00 
                                    00 00 00 00 00 00 00 
                                    00 00 00 00 00 00 00 
                                    00 00 00 00 00 00 00 
                                    00 00 00 00 00 00 00 
                                    00 00 00 00 00 00 00 
                                    00 00 00 00 00 00 00 
                                    00 00 00 00 00 00 00 
                                    00 00 00 00 00 00 00 
                                    00 00 00 00 00 00 00 
                                    00 00 00 00 00 00 00 
                                    00 00 00 00 00 00 00 
                                    00 00 00 00 00 00 00 
                                    00 00 00 00 00 00 00 
                                    00 00 00 00 00 00 00 
                                    00 00 00 00 00 00 00 
                                    00 00 00 00 00 00 00 
                                    00 00 00 00 00 00 00 
                                    00 00 00 00 00 00 00 
                                    00 00 00 00 00 00 00 
                                    00 00 00 00 00 00 00 
                                    00 00 00 00 00 00 00 
                                    00 00 00 00 00 00 00 
                                    00 00 00 00 00 00 00 
                                    00 00 00 00 00 00 00 
                                    00 00 00 00 00 00 00 
                                    00 00 00 00 00 00 00 
                                    00 00 00 00 00 00 00 
                                    00 00 00 00 00 00 00 
                                    00 00 00 00 00 00 00 
                                    00 00 00 00 00 00 00 
                                    00 00 00 00 00 00 00 
                                    00 00 00 00 00 00 00 
                                    00 00 00 00 00 00 00 
                                    00 00 00 00 00 00 00 
                                    00 00 00 00 00 00 00 
                                    00 00 00 00 00 00 00 
                                    00 00 00 00 00 00 00 
                                    00 00 00 00 00 00 00 
                                    00 00 00 00 00 00 00 
                                    00 00 00 00 00 00 00 
                                    00 00 00 00 00 00 00 
                                    00 00 00 00 00 00 00 
                                    00 00 00 00 00 00 00 
                                    00 00 00 00 00 00 00 
                                    00 00 00 00 00 00 00 
                                    00 00 00 00 00 00 00 
                                    00 00 00 00 00 00 00 
                                    00 00 00 00 00 00 00 
                                    00 00 00 00 00 00 00 
                                    00 00 00 00 00 00 00 
                                    00 00 00 00 00 00 00 
                                    00 00 00 00 00 00 00 
                                    00 00 00 00 00 00 00 
                                    00 00 00 00 00 00 00 
                                    00 00 00 00 00 00 00 
                                    00 00 00 00 00 00 00 
                                    00 00 00 00 00 00 00 
                                    00 00 00 00 00 00 00 
                                    00 00 00 00 00 00 00 
                                    00 00 00 00 00 00 00 
                                    00 00 00 00 00 00 00 
                                    00 00 00 00 00 00 00 
                                    00 00 00 00 00 00 00 
                                    00 00 00 00 00 00 00 
                                    00 00 00 00 00 00 00 
                                    00 00 00 00 00 00 00 
                                    00 00 00 00 00 00 00 
                                    00 00 00 00 00 00 00 
                                    00 00 00 00 00 00 00 
                                    00 00 00 00 00 00 00 
                                    00 00 00 00 00 00 00 
                                    00 00 00 00 00 00 00 
                                    00 00 00 00 00 00 00 
                                    00 00 00 00 00 00 00 
                                    00 00 00 00 00 00 00 
                                    00 00 00 00 00 00 00 
                                    00 00 00 00 00 00 00 
                                    00 00 00 00 00 00 00 
                                    00 00 00 00 00 00 00 
                                    00 00 00 00 00 00 00 
                                    00 00 00 00 00 00 00 
                                    00 00 00 00 00 00 00 
                                    00 00 00 00          
20          Receive:       078E     76 02                   2018\5\10\16:07:35:360
21          Send:          070E     37 7F BF E2 92          2018\5\10\16:07:35:438
22          Receive:       078E     77 7F BF E2 92          2018\5\10\16:07:35:470
23          Send:          070E     31 01 02 02             2018\5\10\16:07:35:489
24          Receive:       078E     71 01 02 02 00          2018\5\10\16:07:35:500
25          Send:          070E     31 01 FF 00 44 00 C0    2018\5\10\16:07:35:522
                                    68 00 00 04 98 00    
26          Receive:       078E     71 01 FF 00 00          2018\5\10\16:07:36:70
27          Send:          070E     34 00 44 00 C0 68 00    2018\5\10\16:07:36:83
                                    00 00 88 00          
28          Receive:       078E     74 20 04 02             2018\5\10\16:07:36:93
29          Send:          070E     36 01 5A 5A A5 A5 FF    2018\5\10\16:07:36:122
                                    00 FF 00 FF 00 FF 00 
                                    FF 00 FF 00 FF 00 FF 
                                    00 FF 00 FF 00 FF 00 
                                    FF 00 FF 00 FF 00 FF 
                                    00 FF 00 FF 00 FF 00 
                                    FF 00 FF 00 FF 00 FF 
                                    00 FF 00 FF 00 FF 00 
                                    FF 00 FF 00 FF 00 FF 
                                    00 FF 00 FF 00 FF 00 
                                    FF 00 FF 00 FF 00 FF 
                                    00 FF 00 FF 00 FF 00 
                                    FF 00 FF 00 FF 00 FF 
                                    00 FF 00 FF 00 FF 00 
                                    FF 00 FF 00 FF 00 FF 
                                    00 FF 00 FF 00 FF 00 
                                    FF 00 FF 00 FF 00 FF 
                                    00 FF 00 FF 00 FF 00 
                                    FF 00 FF 00 FF 00 FF 
                                    00 FF 00 FF 00 FF 00 
                                    FF 00 FF 00 FF 00 FF 
                                    00 FF 00 FF 00 FF 00 
                                    FF 00 FF 00 FF 00 FF 
                                    00 FF 00 FF 00 1A 00 
                                    FF 00 FF 00 FF 00 FF 
                                    00 FF 00 FF 00 FF 00 
                                    FF 00 FF 00 FF 00 FF 
                                    00 FF 00 FF 00 FF 00 
                                    FF 00 FF 00 FF 00 FF 
                                    00 FF 00 FF 00 FF 00 
                                    FF 00 FF 00 FF 00 FF 
                                    00 FF 00 FF 00 FF 00 
                                    FF 00 FF 00 FF 00 FF 
                                    00 FF 00 FF 00 FF 00 
                                    FF 00 FF 00 FF 00 FF 
                                    00 FF 00 FF 00 FF 00 
                                    FF 00 FF 00 FF 00 FF 
                                    00 FF 00 FF 00 FF 00 
                                    FF 00 FF 00 FF 00 1B 
                                    00 FF 00 FF 00 FF 00 
                                    FF 00 FF 00 FF 00 FF 
                                    00 FF 00 FF 00 FF 00 
                                    FF 00 FF 00 FF 00 FF 
                                    00 FF 00 FF 00 1C 00 
                                    FF 00 FF 00 FF 00 FF 
                                    00 FF 00 FF 00 FF 00 
                                    FF 00 FF 00 21 00 FF 
                                    00 FF 00 FF 00 FF 00 
                                    FF 00 FF 00 FF 00 FF 
                                    00 FF 00 FF 00 FF 00 
                                    FF 00 FF 00 FF 00 FF 
                                    00 FF 00 FF 00 FF 00 
                                    FF 00 FF 00 FF 00 FF 
                                    00 FF 00 FF 00 FF 00 
                                    FF 00 FF 00 FF 00 FF 
                                    00 FF 00 FF 00 FF 00 
                                    FF 00 FF 00 FF 00 FF 
                                    00 FF 00 FF 00 FF 00 
                                    FF 00 FF 00 FF 00 FF 
                                    00 FF 00 FF 00 FF 00 
                                    FF 00 FF 00 FF 00 FF 
                                    00 FF 00 FF 00 FF 00 
                                    FF 00 FF 00 FF 00 FF 
                                    00 FF 00 FF 00 FF 00 
                                    FF 00 FF 00 FF 00 FF 
                                    00 FF 00 FF 00 FF 00 
                                    FF 00 FF 00 FF 00 FF 
                                    00 FF 00 FF 00 FF 00 
                                    FF 00 FF 00 FF 00 FF 
                                    00 FF 00 FF 00 FF 00 
                                    FF 00 FF 00 FF 00 FF 
                                    00 FF 00 FF 00 FF 00 
                                    FF 00 FF 00 FF 00 FF 
                                    00 FF 00 FF 00 FF 00 
                                    FF 00 FF 00 FF 00 FF 
                                    00 FF 00 FF 00 FF 00 
                                    FF 00 FF 00 FF 00 FF 
                                    00 FF 00 FF 00 FF 00 
                                    FF 00 FF 00 FF 00 FF 
                                    00 FF 00 FF 00 FF 00 
                                    FF 00 FF 00 FF 00 FF 
                                    00 FF 00 FF 00 FF 00 
                                    FF 00 FF 00 FF 00 FF 
                                    00 FF 00 FF 00 FF 00 
                                    FF 00 FF 00 FF 00 FF 
                                    00 FF 00 FF 00 FF 00 
                                    FF 00 FF 00 FF 00 FF 
                                    00 FF 00 FF 00 FF 00 
                                    FF 00 FF 00 FF 00 FF 
                                    00 FF 00 FF 00 FF 00 
                                    FF 00 FF 00 FF 00 FF 
                                    00 FF 00 FF 00 FF 00 
                                    FF 00 FF 00 FF 00 FF 
                                    00 FF 00 FF 00 FF 00 
                                    FF 00 FF 00 FF 00 FF 
                                    00 FF 00 FF 00 FF 00 
                                    FF 00 FF 00 FF 00 FF 
                                    00 FF 00 FF 00 FF 00 
                                    FF 00 FF 00 FF 00 FF 
                                    00 FF 00 FF 00 FF 00 
                                    FF 00 FF 00 FF 00 FF 
                                    00 FF 00 FF 00 FF 00 
                                    FF 00 FF 00 FF 00 FF 
                                    00 FF 00 FF 00 FF 00 
                                    FF 00 FF 00 FF 00 FF 
                                    00 FF 00 FF 00 FF 00 
                                    FF 00 FF 00 FF 00 FF 
                                    00 FF 00 FF 00 FF 00 
                                    FF 00 FF 00 FF 00 FF 
                                    00 FF 00 FF 00 FF 00 
                                    FF 00 FF 00 FF 00 FF 
                                    00 1E 00 FF 00 FF 00 
                                    FF 00 FF 00 FF 00 FF 
                                    00 FF 00 FF 00 FF 00 
                                    FF 00 FF 00 FF 00 FF 
                                    00 FF 00 FF 00 FF 00 
                                    FF 00 FF 00 FF 00 FF 
                                    00 FF 00 FF 00 FF 00 
                                    FF 00 FF 00 FF 00 FF 
                                    00 FF 00 FF 00 FF 00 
                                    FF 00 FF 00 FF 00 FF 
                                    00 FF 00 FF 00 FF 00 
                                    FF 00 FF 00 FF 00 FF 
                                    00 FF 00 FF 00 FF 00 
                                    FF 00 FF 00 FF 00 FF 
                                    00 FF 00 FF 00 FF 00 
                                    FF 00 FF 00 FF 00 FF 
                                    00 FF 00 FF 00 FF 00 
                                    FF 00 FF 00 FF 00 FF 
                                    00 FF 00 FF 00 FF 00 
                                    FF 00 FF 00 FF 00 FF 
                                    00 FF 00 FF 00 FF 00 
                                    FF 00 FF 00 FF 00 FF 
                                    00 FF 00 FF 00 FF 00 
                                    FF 00 FF 00 FF 00 FF 
                                    00 FF 00 FF 00 FF 00 
                                    FF 00 FF 00 FF 00 FF 
                                    00 FF 00 FF 00 FF 00 
                                    FF 00 FF 00 FF 00 FF 
                                    00 FF 00 FF 00 FF 00 
                                    FF 00 FF 00 FF 00 FF 
                                    00 FF 00 FF 00 FF 00 
                                    FF 00 FF 00 FF 00 FF 
                                    00 FF 00 FF 00 FF 00 
                                    FF 00 FF 00 FF 00 FF 
                                    00 FF 00 FF 00 FF 00 
                                    FF 00 FF 00          
30          Receive:       078E     76 01                   2018\5\10\16:07:36:205
31          Send:          070E     36 02 FF 00 FF 00 FF    2018\5\10\16:07:36:222
                                    00 FF 00 FF 00 FF 00 
                                    FF 00 FF 00 FF 00 FF 
                                    00 FF 00 FF 00 FF 00 
                                    FF 00 FF 00 FF 00 FF 
                                    00 FF 00 FF 00 FF 00 
                                    FF 00 FF 00 FF 00 FF 
                                    00 FF 00 FF 00 FF 00 
                                    FF 00 FF 00 FF 00 FF 
                                    00 FF 00 FF 00 FF 00 
                                    FF 00 FF 00 FF 00 FF 
                                    00 FF 00 FF 00 FF 00 
                                    FF 00 FF 00 FF 00 FF 
                                    00 FF 00 FF 00 FF 00 
                                    FF 00 FF 00 FF 00 FF 
                                    00 FF 00 FF 00 FF 00 
                                    FF 00 FF 00 FF 00 FF 
                                    00 FF 00 FF 00 FF 00 
                                    FF 00 FF 00 FF 00 FF 
                                    00 FF 00 FF 00 FF 00 
                                    FF 00 FF 00 FF 00 FF 
                                    00 FF 00 FF 00 FF 00 
                                    FF 00 FF 00 FF 00 FF 
                                    00 FF 00 FF 00 FF 00 
                                    FF 00 FF 00 FF 00 FF 
                                    00 FF 00 FF 00 FF 00 
                                    FF 00 FF 00 FF 00 FF 
                                    00 FF 00 FF 00 FF 00 
                                    FF 00 FF 00 FF 00 FF 
                                    00 FF 00 FF 00 FF 00 
                                    FF 00 FF 00 FF 00 FF 
                                    00 FF 00 FF 00 FF 00 
                                    FF 00 FF 00 FF 00 FF 
                                    00 FF 00 FF 00 FF 00 
                                    FF 00 FF 00 FF 00 FF 
                                    00 FF 00 FF 00 FF 00 
                                    FF 00 FF 00 FF 00 FF 
                                    00 FF 00 FF 00 FF 00 
                                    FF 00 FF 00 FF 00 FF 
                                    00 FF 00 FF 00 FF 00 
                                    FF 00 FF 00 FF 00 FF 
                                    00 FF 00 FF 00 FF 00 
                                    FF 00 FF 00 FF 00 FF 
                                    00 FF 00 FF 00 FF 00 
                                    FF 00 FF 00 FF 00 FF 
                                    00 FF 00 FF 00 FF 00 
                                    FF 00 FF 00 FF 00 FF 
                                    00 FF 00 FF 00 FF 00 
                                    FF 00 FF 00 FF 00 FF 
                                    00 FF 00 FF 00 FF 00 
                                    FF 00 FF 00 FF 00 FF 
                                    00 FF 00 FF 00 FF 00 
                                    FF 00 FF 00 FF 00 FF 
                                    00 FF 00 FF 00 FF 00 
                                    FF 00 FF 00 FF 00 FF 
                                    00 FF 00 FF 00 FF 00 
                                    FF 00 FF 00 FF 00 FF 
                                    00 FF 00 FF 00 FF 00 
                                    FF 00 FF 00 FF 00 FF 
                                    00 FF 00 FF 00 FF 00 
                                    FF 00 FF 00 FF 00 FF 
                                    00 FF 00 FF 00 FF 00 
                                    FF 00 FF 00 FF 00 FF 
                                    00 FF 00 FF 00 FF 00 
                                    FF 00 FF 00 FF 00 FF 
                                    00 FF 00 FF 00 FF 00 
                                    FF 00 FF 00 FF 00 FF 
                                    00 FF 00 FF 00 FF 00 
                                    FF 00 FF 00 FF 00 FF 
                                    00 FF 00 FF 00 FF 00 
                                    FF 00 FF 00 FF 00 FF 
                                    00 FF 00 FF 00 FF 00 
                                    FF 00 FF 00 FF 00 FF 
                                    00 FF 00 FF 00 FF 00 
                                    FF 00 FF 00 FF 00 FF 
                                    00 FF 00 FF 00 FF 00 
                                    FF 00 FF 00 FF 00 FF 
                                    00 FF 00 FF 00 FF 00 
                                    FF 00 FF 00 FF 00 FF 
                                    00 FF 00 FF 00 FF 00 
                                    FF 00 FF 00 FF 00 FF 
                                    00 FF 00 FF 00 FF 00 
                                    FF 00 FF 00 FF 00 FF 
                                    00 FF 00 FF 00 FF 00 
                                    FF 00 FF 00 FF 00 FF 
                                    00 FF 00 FF 00 FF 00 
                                    FF 00 FF 00 FF 00 FF 
                                    00 FF 00 FF 00 FF 00 
                                    FF 00 FF 00 FF 00 FF 
                                    00 FF 00 FF 00 FF 00 
                                    FF 00 FF 00 FF 00 FF 
                                    00 FF 00 FF 00 FF 00 
                                    FF 00 FF 00 FF 00 FF 
                                    00 FF 00 FF 00 FF 00 
                                    FF 00 FF 00 FF 00 FF 
                                    00 FF 00 FF 00 FF 00 
                                    FF 00 FF 00 FF 00 FF 
                                    00 FF 00 FF 00 FF 00 
                                    FF 00 FF 00 FF 00 FF 
                                    00 FF 00 FF 00 FF 00 
                                    FF 00 FF 00 FF 00 FF 
                                    00 FF 00 FF 00 FF 00 
                                    FF 00 FF 00 FF 00 FF 
                                    00 FF 00 FF 00 1F 00 
                                    FF 00 FF 00 FF 00 FF 
                                    00 FF 00 FF 00 FF 00 
                                    FF 00 FF 00 FF 00 FF 
                                    00 FF 00 FF 00 FF 00 
                                    FF 00 FF 00 FF 00 FF 
                                    00 FF 00 FF 00 FF 00 
                                    FF 00 FF 00 20 00 FF 
                                    00 FF 00 FF 00 FF 00 
                                    FF 00 FF 00 FF 00 FF 
                                    00 FF 00 FF 00 FF 00 
                                    FF 00 FF 00 FF 00 FF 
                                    00 FF 00 FF 00 FF 00 
                                    FF 00 1D 00 FF 00 FF 
                                    00 FF 00 FF 00 FF 00 
                                    FF 00 FF 00 FF 00 FF 
                                    00 FF 00 FF 00 FF 00 
                                    FF 00 FF 00 FF 00 FF 
                                    00 FF 00 FF 00 FF 00 
                                    FF 00 FF 00 FF 00 FF 
                                    00 FF 00 FF 00 FF 00 
                                    FF 00 FF 00 FF 00 FF 
                                    00 FF 00 FF 00 FF 00 
                                    FF 00 FF 00 FF 00 FF 
                                    00 FF 00 FF 00 FF 00 
                                    FF 00 FF 00 FF 00 FF 
                                    00 FF 00 FF 00 FF 00 
                                    FF 00 FF 00 FF 00 FF 
                                    00 FF 00 FF 00 FF 00 
                                    FF 00 FF 00 FF 00 FF 
                                    00 FF 00 FF 00 FF 00 
                                    FF 00 FF 00 FF 00 FF 
                                    00 FF 00 FF 00 FF 00 
                                    FF 00 FF 00 FF 00 FF 
                                    00 FF 00 FF 00 FF 00 
                                    FF 00 FF 00 FF 00 FF 
                                    00 FF 00 FF 00 FF 00 
                                    FF 00 FF 00 FF 00 FF 
                                    00 FF 00 FF 00 FF 00 
                                    FF 00 FF 00 FF 00 FF 
                                    00 FF 00 FF 00 FF 00 
                                    FF 00 FF 00 FF 00 22 
                                    00 FF 00 FF 00 FF 00 
                                    FF 00 FF 00          
32          Receive:       078E     76 02                   2018\5\10\16:07:36:300
33          Send:          070E     36 03 FF 00 FF 00 FF    2018\5\10\16:07:36:317
                                    00 FF 00 FF 00 FF 00 
                                    FF 00 FF 00 FF 00 FF 
                                    00 FF 00 FF 00 FF 00 
                                    FF 00 FF 00 FF 00 FF 
                                    00 FF 00 FF 00 FF 00 
                                    FF 00 FF 00 FF 00 FF 
                                    00 FF 00 FF 00 FF 00 
                                    FF 00 FF 00 FF 00 FF 
                                    00 FF 00 FF 00 FF 00 
                                    FF 00 FF 00 FF 00 FF 
                                    00 FF 00 FF 00 FF 00 
                                    FF 00 FF 00 FF 00 FF 
                                    00 FF 00 FF 00 FF 00 
                                    FF 00 FF 00 FF 00 FF 
                                    00 FF 00 FF 00 FF 00 
                                    FF 00 FF 00 FF 00 FF 
                                    00 FF 00 FF 00 FF 00 
                                    FF 00 FF 00 FF 00 FF 
                                    00 FF 00 FF 00 FF 00 
                                    FF 00 FF 00 FF 00 FF 
                                    00 FF 00 FF 00 FF 00 
                                    FF 00 FF 00 FF 00 FF 
